"","Female_18over_pt","Pop_20_24_18over_pt","Pop_25_44_18over_pt","Pop_45_64_18over_pt","Pop_65_84_18over_pt","Pop_85over_18over_pt","Hispanic_pt","NH_White_pt","NH_Black_pt","EduLHigh_18over_pt","Poverty_18over_pt","Insured_19over_pt","MHI","CHD","CSMOKING","BPHIGH","HIGHCHOL","OBESITY","DIABETES","Latitude","Longitude","Metric_2.5km","Metric_5km","Metric_11.1km"
"8972",52.66778995,6.149957877,22.94299354,39.65178321,26.116259473,2.162313957,4.241910072,89.68609865,3.029935765,5.841055883,5.293456894,91.89576174,81689,7.4,13.3,38.1,38.9,31.8,10.7,30.37082,-95.60203,0,0,0
"8973",50.856974,8.215130024,39.42080378,31.01359338,16.1643026,2.895981087,22.36899563,72.74017467,2.936681223,15.95744681,15.61761229,76.40934107,62348,7.8,20.4,38.3,38.1,36.7,12,30.34356,-95.60747,0,0,0
"8974",52.95072464,4.336231884,32.4057971,43.2115942,15.292753627,1.87826087,8.820341809,87.11129637,1.258857857,5.855072464,4.092753623,92.95690581,124117,5.5,15,32.2,34.6,32.8,8.9,30.29604,-95.61847,0,0,0
"8975",48.90728477,9.056291391,30.94370861,40.99337748,14.75165563,2.185430464,15.53981026,78.29950763,3.963011889,12.23509934,7.473368842,85.83981075,76083,6.5,17.4,37.2,36.8,35,10.7,30.33863,-95.75464,0,0,0
"8976",50.8692053,8.69205298,22.76490066,41.18377483,24.58609272,0.951986755,4.95675316,83.53293413,8.74916833,4.180463576,9.975165563,87.96645702,75409,6.8,17.2,37.8,37.7,35.3,10.9,30.50483,-95.72108,0,0,0
"8977",45.22821577,7.123098202,34.57814661,35.82295989,17.634854768,1.93637621,45.62558796,52.02257761,0,26.5560166,12.65560166,78.36879433,46500,8,20.1,33.5,35.4,38.8,13,35.92308,-101.73353,0,0,0
"8978",46.367713,11.56950673,38.02690583,32.82511211,11.591928251,1.524663677,59.2563904,26.44461658,7.079783114,37.24215247,9.753363229,85.69131833,49042,6.4,20.4,30.3,32.7,38,12.2,35.80528,-101.95259,0,0,0
"8979",49.15193071,10.57380007,42.25911223,27.71562613,12.324070732,2.869000361,49.00571713,39.4108874,0.720855083,24.10682064,10.13673655,82.80617874,62342,6.8,17.6,32,34,36.9,11.6,35.8758,-101.96854,0,0,0
"8980",49.83997672,13.87838231,31.45184754,32.44108234,14.751236542,1.367471632,62.52415926,22.99961345,2.164669501,43.5263311,18.88090963,72.22222222,36304,7.9,21.7,34.6,35.6,39.4,14.2,35.85367,-101.96913,0,0,0
"8981",52.4,7.446153846,36.30769231,28,21.93846154,4.553846154,6.696132597,74.78453039,16.0441989,10.15384615,12.76196434,87.77389648,42701,9,19.4,40.7,38.5,38.1,14.4,33.20876,-94.73829,0,0,0
"8982",52.3699954,5.292222734,21.1919006,38.31109066,28.48596411,2.945237,7.571952868,65.50125555,24.62816303,11.94201565,11.11366774,84.90742911,43878,9.2,18.5,41.6,39.3,38.2,14.8,33.00491,-94.7263,0,0,0
"8983",54.70558631,8.052340211,38.85254152,29.49169602,16.960241569,3.774534474,17.67083027,46.69360764,34.0191036,19.02365375,23.99364407,73.58184765,40273,9,22.3,39.7,36.5,41.1,14.8,33.03012,-94.72495,0,0,0
"8984",46.80851064,3.427895981,29.55082742,23.99527187,36.76122931,3.191489362,19.37716263,74.48096886,1.643598616,14.6572104,9.338061466,74.24058323,43750,11,17.9,43.6,42.7,35.3,15.3,34.07411,-100.77981,0,0,0
